,constituent,emergent_behavior
96,smart home applications utilizing IoT technologies,avoid many simultaneous charging cycles
97,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),avoid many simultaneous charging cycles
98,Heating/Ventilation and Air-Conditioning system (HVAC),avoid many simultaneous charging cycles
99,one heating system,avoid many simultaneous charging cycles
100,distributed traffic lights network,avoid many simultaneous charging cycles
101,distributed traffic lights network,avoid many simultaneous charging cycles
102,Storage Agent,minimum peak loads emerging
103,Battery storages,minimum peak loads emerging
104,Storage Agent,minimum peak loads emerging
105,Battery storages,minimum peak loads emerging
106,Battery storages,minimum peak loads emerging
107,Battery storages,minimum peak loads emerging
108,Battery storages,minimum peak loads emerging
109,Electric Load,minimum peak loads emerging
110,Building Management System (BMS),minimum peak loads emerging
111,Heating/Ventilation and Air-Conditioning system (HVAC),minimum peak loads emerging
112,Building Management System (BMS),minimum peak loads emerging
113,smart home applications utilizing IoT technologies,minimum peak loads emerging
114,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),minimum peak loads emerging
115,Heating/Ventilation and Air-Conditioning system (HVAC),minimum peak loads emerging
116,one heating system,minimum peak loads emerging
117,distributed traffic lights network,minimum peak loads emerging
118,distributed traffic lights network,minimum peak loads emerging
119,Storage Agent,cost limits are not exceeded
120,Battery storages,cost limits are not exceeded
121,Storage Agent,cost limits are not exceeded
122,Battery storages,cost limits are not exceeded
123,Battery storages,cost limits are not exceeded
124,Battery storages,cost limits are not exceeded
125,Battery storages,cost limits are not exceeded
126,Electric Load,cost limits are not exceeded
127,Building Management System (BMS),cost limits are not exceeded
128,Heating/Ventilation and Air-Conditioning system (HVAC),cost limits are not exceeded
129,Building Management System (BMS),cost limits are not exceeded
130,smart home applications utilizing IoT technologies,cost limits are not exceeded
131,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),cost limits are not exceeded
132,Heating/Ventilation and Air-Conditioning system (HVAC),cost limits are not exceeded
133,one heating system,cost limits are not exceeded
134,distributed traffic lights network,cost limits are not exceeded
135,distributed traffic lights network,cost limits are not exceeded
136,Storage Agent,balance between energy production and consumption
137,Battery storages,balance between energy production and consumption
138,Storage Agent,balance between energy production and consumption
139,Battery storages,balance between energy production and consumption
140,Battery storages,balance between energy production and consumption
141,Battery storages,balance between energy production and consumption
142,Battery storages,balance between energy production and consumption
143,Electric Load,balance between energy production and consumption
144,Building Management System (BMS),balance between energy production and consumption
145,Heating/Ventilation and Air-Conditioning system (HVAC),balance between energy production and consumption
146,Building Management System (BMS),balance between energy production and consumption
147,smart home applications utilizing IoT technologies,balance between energy production and consumption
148,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),balance between energy production and consumption
149,Heating/Ventilation and Air-Conditioning system (HVAC),balance between energy production and consumption
150,one heating system,balance between energy production and consumption
151,distributed traffic lights network,balance between energy production and consumption
152,distributed traffic lights network,balance between energy production and consumption
153,Storage Agent,optimise energy usage in a range of weather conditions
154,Battery storages,optimise energy usage in a range of weather conditions
155,Storage Agent,optimise energy usage in a range of weather conditions
156,Battery storages,optimise energy usage in a range of weather conditions
157,Battery storages,optimise energy usage in a range of weather conditions
158,Battery storages,optimise energy usage in a range of weather conditions
159,Battery storages,optimise energy usage in a range of weather conditions
160,Electric Load,optimise energy usage in a range of weather conditions
161,Building Management System (BMS),optimise energy usage in a range of weather conditions
162,Heating/Ventilation and Air-Conditioning system (HVAC),optimise energy usage in a range of weather conditions
163,Building Management System (BMS),optimise energy usage in a range of weather conditions
164,smart home applications utilizing IoT technologies,optimise energy usage in a range of weather conditions
165,Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload),optimise energy usage in a range of weather conditions
166,Heating/Ventilation and Air-Conditioning system (HVAC),optimise energy usage in a range of weather conditions
